tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
3;18.10;82.0;1538;0.13;-0.23;9.74;0.58;1.00;-5.24;17.31;1013.8;0.1
23;18.10;82.3;0;0.18;-0.66;9.59;-1.22;2.10;12.22;17.28;1013.8;0.1
43;18.80;78.8;1538;-0.40;-1.10;9.25;-0.74;1.30;-1.35;17.24;1013.7;0.1
64;19.30;75.8;0;-0.28;-1.00;9.10;-0.66;0.94;1.99;17.20;1013.7;0.1
84;19.50;74.5;1544;-0.39;-1.07;9.10;-0.77;0.95;5.03;17.22;1013.8;0.1
105;19.70;73.5;0;-0.02;-0.51;9.23;-0.66;1.30;3.13;17.23;1013.8;0.1
125;19.90;72.9;1544;-0.14;-0.37;9.44;2.14;1.87;-19.24;17.23;1013.8;0.1
146;20.00;72.4;0;0.21;-0.43;9.33;-0.39;-0.37;-1.28;17.24;1013.8;0.1
166;20.10;72.1;1550;-0.22;-0.73;9.18;-0.44;0.99;-1.84;17.26;1013.8;0.1
187;20.20;71.9;0;0.35;0.05;9.52;-0.13;0.80;-1.72;17.26;1013.8;0.1
207;20.30;71.2;1550;0.09;-0.22;9.17;-0.31;1.18;-2.57;17.27;1013.8;0.1
228;20.40;70.8;0;0.25;0.00;9.26;0.19;1.35;-2.85;17.27;1013.7;0.1
248;20.40;70.3;1550;0.18;-0.81;9.42;-2.32;0.35;5.92;17.27;1013.8;0.1
269;20.40;70.0;0;-0.04;-0.64;8.95;-0.09;1.10;-2.79;17.25;1013.8;0.1
289;20.40;69.8;1550;0.12;-0.39;8.96;0.21;1.22;-3.69;17.25;1013.7;0.1
310;20.50;69.4;0;0.05;-0.51;8.92;0.03;1.27;-3.48;17.22;1013.7;0.1
330;20.50;69.1;1550;-0.02;-0.62;8.97;0.29;1.40;-5.00;17.18;1013.8;0.1
351;20.50;68.9;0;0.17;-0.23;9.11;-0.28;1.30;-1.88;17.09;1013.8;0.1
371;20.40;69.9;1550;-0.88;-2.20;10.10;0.64;1.22;3.79;17.10;1013.8;0.1
391;20.40;71.1;0;0.37;3.07;10.33;0.18;2.10;-1.36;17.20;1013.8;0.1
411;20.40;71.0;1544;-0.01;3.15;11.06;-1.12;0.20;-2.28;17.10;1013.8;0.1
432;20.40;69.6;0;0.40;2.84;10.22;0.75;-1.80;-4.36;17.13;1013.8;0.1
452;20.40;69.5;1550;0.42;3.29;10.14;0.11;0.89;-2.23;17.19;1013.8;0.1
473;20.50;70.1;0;0.44;3.17;10.06;-0.21;1.20;-2.34;17.17;1013.9;0.1
493;20.50;68.7;1563;0.39;3.15;10.10;-0.21;1.22;-2.44;17.13;1013.8;0.1
514;20.50;68.2;0;0.42;3.13;10.15;-0.29;1.22;-2.27;17.10;1013.9;0.1
tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
3;17.90;77.9;1556;-0.04;-0.52;9.81;-5.00;-4.06;7.63;17.74;1013.8;0.1
23;18.00;77.9;0;0.89;0.70;7.27;-0.24;-4.06;2.26;17.73;1013.8;0.1
43;18.90;76.4;1556;0.66;-0.34;8.84;-0.18;1.34;3.31;17.82;1013.8;0.1
64;19.40;74.6;0;0.65;0.16;7.86;1.18;-1.32;-0.81;17.93;1013.7;0.1
84;19.90;74.1;1569;0.56;0.06;7.79;0.27;0.91;0.46;17.98;1013.8;0.1
105;20.20;73.0;0;0.53;0.10;7.67;0.46;0.08;0.20;17.97;1013.8;0.1
